CID,CRPName
N00003709,"DeWine, Mike"
N00002872,"Diaz-Balart, Lincoln"
N00025337,"Diaz-Balart, Mario"
N00007918,"Dicks, Norm"
N00001783,"Dingell, John D"
N00029460,"Djou, Charles"
N00000581,"Dodd, Chris"
N00006023,"Doggett, Lloyd"
N00031103,"Dold, Robert"
N00008071,"Dole, Elizabeth"
N00006515,"Domenici, Pete V"
N99999986,"Donaldson, William H"
N00026586,"Donnelly, Joe"
N99999940,"Donovan, Shaun LS"
N00007251,"Dooley, Cal"
N00007556,"Doolittle, John T"
N00004615,"Dorgan, Byron L"
N00001373,"Doyle, Mike"
N00027281,"Drake, Thelma"
N00006932,"Dreier, David"
N00029211,"Driehaus, Steven Leo"
N00027860,"Duckworth, Tammy"
N00030967,"Duffy, Sean P"
N99999939,"Duncan, Arne S"
N00030752,"Duncan, Jeff"
N00003209,"Duncan, John J Jr"
N00007823,"Dunn, Jennifer"
N00004981,"Durbin, Dick"
N00005794,"Edwards, Chet"
N00028249,"Edwards, Donna"
N00002283,"Edwards, John"
N00004166,"Ehlers, Vernon J"
N00028257,"Ellison, Keith Maurice"
N00031513,"Ellmers, Renee"
N00027575,"Ellsworth, Brad"
N00024813,"Emanuel, Rahm"
N00005090,"Emerson, Jo Ann"
N00001003,"Engel, Eliot L"
N00001427,"English, Phil"
N00006619,"Ensign, John"
N00034884,"Enyart, William"
N00006249,"Enzi, Mike"
N00007335,"Eshoo, Anna"
N00033217,"Esty, Elizabeth"
N00002269,"Etheridge, Bob"
N00004912,"Evans, Lane"
N00003083,"Everett, Terry"
N00007632,"Faleomavaega, Eni F H"
N00027781,"Fallin, Mary"
N00031672,"Farenthold, Randolph Blake"
N00007312,"Farr, Sam"
N00001746,"Fattah, Chaka"
N00024851,"Feeney, Tom"
N00000036,"Feingold, Russ"
N00007364,"Feinstein, Dianne"
N00000766,"Ferguson, Mike"
N00007033,"Filner, Bob"
N00031141,"Fincher, Steve"
N00033443,"Fischer, Deb"
N00004690,"Fitzgerald, Peter G"
N00027229,"Fitzpatrick, Michael G"
N00009573,"Flake, Jeff"
N00030815,"Fleischmann, Charles J"
N00029679,"Fleming, John Calvin Jr"
N00031545,"Flores, William"
N00002898,"Foley, Mark"
N00013799,"Forbes, J Randy"
N00003218,"Ford, Harold E Jr"
N00026631,"Fortenberry, Jeffrey Lane"
N00026264,"Fortuno, Luis"
N00000983,"Fossella, Vito"
N00029139,"Foster, Bill"
N00026166,"Foxx, Virginia"
N00000275,"Frank, Barney"
N00002893,"Frankel, Lois J"
N00029016,"Franken, Al"
N00006423,"Franks, Trent"
N00000684,"Frelinghuysen, Rodney"
N00003147,"Frist, Bill"
N00005677,"Frost, Martin"
N00030490,"Fudge, Marcia L"
N00033281,"Gabbard, Tulsi"
N00007231,"Gallegly, Elton"
N00033541,"Gallego, Pete"
N00030856,"Garamendi, John"
N00029908,"Garcia, Joe"
N00030780,"Gardner, Cory"
N00000743,"Garrett, Scott"
N99999958,"Gates, Robert"
N99999941,"Geithner, Timothy F"
N00005037,"Gephardt, Richard A"
N00025025,"Gerlach, Jim"
N00006652,"Gibbons, Jim"
N00031128,"Gibbs, Bob"
N00031998,"Gibson, Chris"
N00027829,"Giffords, Gabrielle"
N00002012,"Gilchrest, Wayne T"
N99999957,"Gillespie, Edward W"
N00027658,"Gillibrand, Kirsten E"
N00003660,"Gillmor, Paul E"
N00024760,"Gingrey, Phil"
N99999924,"Ginsburg, Ruth Bader"
N00026148,"Gohmert, Louis B Jr"
N99999976,"Gonzales, Alberto"
N00005960,"Gonzalez, Charlie A"
N00002167,"Goode, Virgil H Jr"
N00009154,"Goodlatte, Bob"
N00032762,"Goodwin, Carte"
N00003126,"Gordon, Bart"
N00030771,"Gosar, Paul"
N00002960,"Goss, Porter"
N00030880,"Gowdy, Trey"
N00002742,"Graham, Bob"
N00009975,"Graham, Lindsey"
N00008799,"Granger, Kay"
N00001758,"Grassley, Chuck"
N00013323,"Graves, Sam"
N00030788,"Graves, Tom"
N00028418,"Grayson, Alan Mark"
N00026686,"Green, Al"
N00005870,"Green, Gene"
N00004391,"Green, Mark"
N99999967,"Greenspan, Alan"
N00001519,"Greenwood, James C"
N00000444,"Gregg, Judd"
N00031297,"Griffin, Tim"
N00032029,"Griffith, Morgan"
N00029917,"Griffith, Parker"
N00025284,"Grijalva, Raul M"
N00031401,"Grimm, Michael"
N00029400,"Grisham, Michelle Lujan"
N00030801,"Guinta, Frank"
N00029675,"Guthrie, Steven Brett"
N99999961,"Gutierrez, Carlos"
N00004874,"Gutierrez, Luis V"
N00004527,"Gutknecht, Gil"
N99999966,"Hadley, Stephen J"
N00029617,"Hagan, Kay R"
N00005301,"Hagel, Chuck"
N00006806,"Hahn, Janice"
N00027888,"Hall, John"
N00005645,"Hall, Ralph M"
N00029377,"Halvorson, Deborah ""Debbie"""
N99999927,"Hamburg, Margaret A"
N00025881,"Hanabusa, Colleen"
N00030197,"Hanna, Richard L"
N00028234,"Hare, Philip G"
N00004207,"Harkin, Tom"
N00006750,"Harman, Jane"
N00029632,"Harper, Gregg"
N00029147,"Harris, Andy"
N00024882,"Harris, Katherine"
N00009715,"Hart, Melissa"
N00031005,"Hartzler, Vicky"
N00004781,"Hastert, Dennis"
N00002884,"Hastings, Alcee L"
N00009157,"Hastings, Doc"
N00009869,"Hatch, Orrin G"
N00002315,"Hayes, Robin"
N00006455,"Hayworth, J D"
N00031124,"Hayworth, Nan"
N00031557,"Heck, Dennis"
N00031244,"Heck, Joe"
N00000048,"Hefley, Joel"
N00029835,"Heinrich, Martin"
N00033782,"Heitkamp, Heidi"
N00027522,"Heller, Dean"
N00024922,"Hensarling, Jeb"
N00007584,"Herger, Wally"
N00031559,"Herrera, Jaime"
N00024773,"Herseth, Stephanie"
N00027060,"Higgins, Brian M"
N00003875,"Hill, Baron"
N00029070,"Himes, Jim"
N00001222,"Hinchey, Maurice"
N00006008,"Hinojosa, Ruben"
N00028139,"Hirono, Mazie K"
N00003725,"Hobson, Dave"
N00033055,"Hochul, Kathleen"
N00027048,"Hodes, Paul W"
N00001529,"Hoeffel, Joseph M"
N00004155,"Hoekstra, Peter"
N00031688,"Hoeven, John"
N00001469,"Holden, Tim"
N99999942,"Holder, Eric H"
N00033399,"Holding, George"
N00002423,"Hollings, Fritz"
N00000860,"Holt, Rush"
N00012611,"Honda, Mike"
N00007700,"Hooley, Darlene"
N00033638,"Horsford, Steven"
N00003897,"Hostettler, John"
N00001329,"Houghton, Amo"
N00001821,"Hoyer, Steny H"
N99999975,"Hubbard, Allan B"
N00033630,"Hudson, Richard"
N00027649,"Huelskamp, Tim"
N00033030,"Huffman, Jared"
N00030673,"Huizenga, Bill"
N00008032,"Hulshof, Kenny"
N00031104,"Hultgren, Randy"
N00006983,"Hunter, Duncan"
